class,Cap_averages,press_averages,ax_averages,ay_averages,az_averages,gx_averages,gy_averages,gz_averages,mx_averages,my_averages,mz_averages,Cap_variances,press_variances,ax_variances,ay_variances,az_variances,gx_variances,gy_variances,gz_variances,mx_variances,my_variances,mz_variances,Cap_std_deviations,press_std_deviations,ax_std_deviations,ay_std_deviations,az_std_deviations,gx_std_deviations,gy_std_deviations,gz_std_deviations,mx_std_deviations,my_std_deviations,mz_std_deviations,Cap_kurtosis,press_kurtosis,ax_kurtosis,ay_kurtosis,az_kurtosis,gx_kurtosis,gy_kurtosis,gz_kurtosis,mx_kurtosis,my_kurtosis,mz_kurtosis,Cap_skewness,press_skewness,ax_skewness,ay_skewness,az_skewness,gx_skewness,gy_skewness,gz_skewness,mx_skewness,my_skewness,mz_skewness,times
1,129.2727273,6.727272727,0.062727273,0.183636364,0.924545455,-57.28818182,-0.52,5.469090909,0.605454546,-0.055454545,-0.418181818,2336.618182,270.8181818,0.009221818,0.029125455,0.012247273,2625.990296,74.40516,39.44304909,0.000227273,0.000787273,0.002716364,48.33857861,16.45655437,0.096030298,0.170661813,0.110667397,51.24441722,8.625842568,6.28037014,0.015075567,0.028058381,0.052118746,-0.74599908,9.448184624,1.975938637,-0.529123484,0.754213998,-1.662340046,5.394436675,-2.117532876,1.66848,1.718056348,1.487341602,0.637225482,3.019373615,-1.871718848,0.923862078,-1.350306247,-0.170968541,-1.724425859,0.092145222,1.178065126,-1.468399914,1.47951882,11
1,115.0769231,32.38461538,0.095384615,0.203846154,0.916923077,-47.67846154,0.576153846,4.525384615,0.594615385,-0.054615385,-0.41,1479.910256,938.5897436,0.000710256,0.036058974,0.00710641,1834.641947,1.319558974,35.62134359,0.000176923,0.000760256,0.003333333,38.46960172,30.63641205,0.026650636,0.189892007,0.084299527,42.83272052,1.148720581,5.968361885,0.013301243,0.027572748,0.057735027,-1.773063534,-0.824263518,6.023821028,-1.315462378,1.100851311,-1.988515624,0.100249531,2.30700878,3.648221344,-0.174929081,-0.050672727,0.157216441,0.696344034,-1.751873604,0.551580416,-1.38429705,-0.268621227,0.137527519,-1.55039632,1.729458804,-1.007300062,1.093081519,13
1,124.8461538,57,0.106923077,0.222307692,0.947692308,-43.63692308,0.853076923,4.821538462,0.597692308,-0.056923077,-0.413076923,3168.641026,3241.833333,0.00075641,0.037685897,0.003569231,1099.93804,20.93675641,23.08943077,0.000135897,0.000689744,0.002339744,56.29068329,56.9370998,0.027502914,0.194128559,0.05974304,33.1653138,4.57567005,4.80514628,0.011657506,0.02626297,0.048370896,-1.83987446,-1.730806067,3.554784153,-1.718409984,-1.220240886,-1.105655777,6.25995506,1.671128599,-0.675769442,-1.487522033,-1.213142693,0.272039116,0.270639855,1.771320945,0.36214783,-0.396420835,-0.204900769,2.116072056,1.147802688,0.525283828,-0.428311524,0.634851661,13
1,126.0833333,29.58333333,0.110833333,0.176666667,0.976666667,-46.405,1.64,4.959166667,0.596666667,-0.0525,-0.420833333,2647.174242,976.6287879,0.001753788,0.032078788,0.010224242,1291.386627,10.4448,26.99199015,0.000187879,0.000547727,0.002026515,51.4506972,31.25106059,0.041878251,0.179105522,0.101114996,35.93586826,3.23184158,5.195381618,0.013706888,0.023403574,0.045016832,-0.944648733,-1.262128603,10.30461695,-0.721915759,5.098329427,-1.661687004,2.510449424,-1.578475169,-0.511654527,0.172471778,-0.044424128,0.6737106,0.700991694,3.111415732,0.939015623,1.735316377,0.041606992,1.111648244,-0.227155542,0.724853346,-1.069099402,1.141687188,12
1,143.1875,17.5625,0.081875,0.25125,0.933125,-37.61,-1.1325,2.6625,0.601875,-0.058125,-0.40625,2559.095833,341.7291667,0.00301625,0.039638333,0.00647625,934.4371733,39.2815,34.93060667,0.000122917,0.000949583,0.003611667,50.58750669,18.48591806,0.054920397,0.19909378,0.080475151,30.56856512,6.267495513,5.910212066,0.011086779,0.03081531,0.060097144,-1.892188708,-0.342680078,8.642663205,-1.579198347,-0.081466374,-1.41641501,13.47215462,0.526459003,-0.860048426,-1.188023014,-1.366457407,-0.054423698,0.82520439,-2.839476526,0.289559329,0.238549932,-0.396101819,-3.47516933,-0.670639509,0.588358663,-0.654133843,0.619802094,16
1,143,13.6875,0.09375,0.326875,0.906875,-39.270625,0.894375,3.268125,0.606875,-0.0675,-0.394375,1932.266667,93.82916667,0.000345,0.036849583,0.00355625,1042.441953,21.69721292,41.42889625,0.00027625,0.00082,0.003119583,43.95755529,9.686545652,0.018574176,0.191962453,0.059634302,32.28686967,4.658026719,6.436528276,0.01662077,0.028635642,0.05585323,-1.313130543,-1.024540796,-0.874319967,-1.456260657,-1.798763197,-1.202386191,4.581945712,3.783769248,-1.358919535,-1.693131378,-1.790669451,-0.358275289,0.037803571,0.72453051,-0.451931043,-0.145290933,-0.461371377,1.783929399,-0.465746821,0.071949913,0.238488394,0.011591234,16
1,124.5833333,4.75,0.089166667,0.284166667,0.883333333,-51.48166667,1.350833333,6.3325,0.6025,-0.060833333,-0.405833333,1052.810606,64.38636364,0.001626515,0.031626515,0.012933333,1391.449179,18.47471742,24.72663864,0.000220455,0.000826515,0.003390152,32.4470431,8.024111392,0.040330078,0.177838452,0.113724814,37.3021337,4.298222589,4.972588726,0.014847712,0.028749177,0.058225008,-0.451825158,7.219005762,1.995659936,-1.348194069,5.281158272,-1.532484218,11.15182716,-0.86455956,-0.491642753,-1.227354549,-0.934747035,0.502742037,2.547853966,-0.88517348,0.106124792,-2.183471599,0.030037052,3.294759077,-0.103338053,0.48742281,-0.478681068,0.746086529,12
1,158.3636364,15,0.096363636,0.29,0.931818182,-54.84909091,2.851818182,6.89,0.598181818,-0.063636364,-0.400909091,1653.654545,328.6,0.001465455,0.04252,0.005556364,1930.227529,46.83687636,51.3173,0.000236364,0.000945455,0.003249091,40.66515149,18.12732744,0.038281256,0.206203783,0.07454102,43.93435477,6.843747246,7.163609425,0.015374122,0.030748245,0.057000797,-0.839376688,1.26896884,3.761822005,-1.885462861,0.044327976,-1.888097679,8.660279343,-1.235315824,0.451282051,-0.906835552,-1.114857068,0.048233046,1.372944078,-1.593922886,0.02977567,-0.439440276,-0.106489231,2.803345776,0.022713734,1.175801957,-0.564760195,0.667612896,11
1,148.7777778,21.55555556,0.097777778,0.25,0.924444444,-72.00555556,3.287777778,6.864444444,0.603333333,-0.061111111,-0.415555556,622.1944444,771.0277778,0.002819444,0.041725,0.006227778,3561.519728,79.39224444,106.7137278,0.0003,0.001036111,0.003402778,24.94382578,27.76738695,0.053098441,0.204266982,0.078916271,59.67846955,8.91023257,10.33023367,0.017320508,0.03218868,0.058333333,-0.231613009,-1.354851966,0.464677966,-1.60582231,-0.224289765,-2.119592932,0.637767743,1.196058492,1.420634921,-0.39785071,-0.515116797,0.450131737,0.740830023,1.235048869,0.393043871,0.509773038,-0.263438044,-0.144976982,-1.166519879,1.381516716,-0.912491233,1.020374844,9
1,154.0625,6.6875,0.075625,0.338125,0.885,-42.20875,-0.26,4.814375,0.605,-0.0725,-0.383125,2282.8625,58.49583333,0.00406625,0.044829583,0.01832,2545.770865,87.51070667,43.05666625,0.00032,0.000926667,0.00399625,47.77931038,7.648256882,0.063767155,0.211729977,0.135351395,50.45563264,9.354715745,6.561757863,0.017888544,0.0304412,0.0632159,-0.944755381,-0.98792599,12.05108768,-1.708852675,2.325535489,0.017372088,7.489481256,1.623977007,-1.694711538,-1.70116101,-1.992314281,-0.375194853,0.718678387,-3.267818978,-0.427489476,-0.252940193,-1.116827132,-2.166546183,1.416703161,0,0.38488434,-0.188356808,16
